dam_code,dam_name,latitude,longitude,grid_x,grid_y,obsrdt,inflowqy,lowlevel,rf,rsvwtqy,rsvwtrt,totdcwtrqy,pred_base_time,pred_target_time,predicted_inflow_3h,predicted_discharge_3h,discharge_change_level,release_review,confidence_level,model_version
1003110,충주,37.005,127.985,77,115,2026-05-28 20:00:00,52.74,125.03,0.0,,40.4,143.407,2026-05-28 20:00:00,2026-05-28 23:00:00,,,보류,예측 보류,보류,ml-v0.1
1006110,횡성,37.54,128.05,78,126,2026-05-28 20:00:00,1.689,172.45,0.0,48.227,55.5,1.689,2026-05-28 20:00:00,2026-05-28 23:00:00,1.87033551973275,1.7170811458333333,낮음,현재 방류 유지,높음,ml-v0.1
1012110,소양강,37.945,127.815,74,135,2026-05-28 20:00:00,144.659,178.31,0.0,,56.4,84.187,2026-05-28 20:00:00,2026-05-28 23:00:00,,,보류,예측 보류,보류,ml-v0.1
2001110,안동,36.584,128.77,91,106,2026-05-28 20:00:00,78.512,143.94,0.0,524.042,42.0,78.512,2026-05-28 20:00:00,2026-05-28 23:00:00,19.582751874357125,70.72537961309523,보통,주의 관찰,높음,ml-v0.1
2002110,임하,36.54,128.88,93,105,2026-05-28 20:00:00,22.658,149.41,0.0,275.79,46.4,49.825,2026-05-28 20:00:00,2026-05-28 23:00:00,6.353258060708445,42.65137114583332,보통,주의 관찰,높음,ml-v0.1
2002111,성덕,36.3,129.0,96,100,2026-05-28 20:00:00,0.88,349.24,0.0,10.714,38.4,0.88,2026-05-28 20:00:00,2026-05-28 23:00:00,0.5126760532794318,0.7581577976190476,낮음,현재 방류 유지,높음,ml-v0.1
2004101,영주,36.8,128.68,90,111,2026-05-28 20:00:00,1.356,143.03,0.0,39.258,21.7,1.356,2026-05-28 20:00:00,2026-05-28 23:00:00,2.6940441266634183,1.3631376289682535,낮음,현재 방류 유지,높음,ml-v0.1
2008101,군위,36.12,128.65,90,96,2026-05-28 20:00:00,0.652,190.02,0.0,17.866,36.7,1.096,2026-05-28 20:00:00,2026-05-28 23:00:00,0.325545707963908,1.0954728422619049,낮음,현재 방류 유지,높음,ml-v0.1
2012101,보현산,36.14,128.93,94,97,2026-05-28 20:00:00,0.0,220.01,0.0,5.411,24.5,0.471,2026-05-28 20:00:00,2026-05-28 23:00:00,0.348681236422725,0.4530198214285713,낮음,현재 방류 유지,높음,ml-v0.1
2015110,합천,35.53,128.03,79,83,2026-05-28 20:00:00,8.541,161.42,0.0,423.206,53.6,44.93,2026-05-28 20:00:00,2026-05-28 23:00:00,7.764367152339552,5.132352916666666,높음,방류 조정 검토,높음,ml-v0.1
2018110,남강,35.16,128.04,79,75,2026-05-28 20:00:00,66.994,39.0,0.0,130.568,42.2,104.688,2026-05-28 20:00:00,2026-05-28 23:00:00,75.31358429979099,102.98399594020565,낮음,현재 방류 유지,높음,ml-v0.1
2021110,밀양,35.5,128.93,95,83,2026-05-28 20:00:00,2.379,185.49,0.0,32.807,44.6,2.518,2026-05-28 20:00:00,2026-05-28 23:00:00,5.447781511869043,1.0918946279761903,낮음,현재 방류 유지,높음,ml-v0.1
3001110,용담,35.94,127.53,70,92,2026-05-28 20:00:00,0.0,250.58,0.0,398.486,48.9,27.839,2026-05-28 20:00:00,2026-05-28 23:00:00,8.246748509421653,26.680089940476204,낮음,현재 방류 유지,높음,ml-v0.1
3008110,대청,36.4775,127.48,69,103,2026-05-28 20:00:00,0.0,71.58,0.0,898.145,60.3,16.581,2026-05-28 20:00:00,2026-05-28 23:00:00,60.95232146241141,19.36667336309524,낮음,주의 관찰,높음,ml-v0.1
3203110,보령,36.36,126.65,54,100,2026-05-28 20:00:00,2.323,64.0,0.0,42.933,36.7,4.379,2026-05-28 20:00:00,2026-05-28 23:00:00,2.0241873251782363,4.113371269841269,낮음,현재 방류 유지,높음,ml-v0.1
3303110,부안,35.69,126.62,54,86,2026-05-28 20:00:00,0.309,38.82,0.0,35.001,69.6,1.059,2026-05-28 20:00:00,2026-05-28 23:00:00,0.6085587797552331,1.0919252380952376,낮음,현재 방류 유지,높음,ml-v0.1
4001110,섬진강,35.54,127.14,63,83,2026-05-28 20:00:00,0.0,184.46,0.0,202.91,43.5,35.615,2026-05-28 20:00:00,2026-05-28 23:00:00,5.615875326455808,35.95176586309523,낮음,현재 방류 유지,높음,ml-v0.1
4007110,주암(본),35.07,127.24,65,72,2026-05-28 20:00:00,28.583,101.86,0.0,256.569,56.1,19.527,2026-05-28 20:00:00,2026-05-28 23:00:00,10.303956699732492,19.46610678571428,낮음,현재 방류 유지,높음,ml-v0.1
4104610,주암(조),35.06,127.31,66,72,2026-05-28 20:00:00,16.738,95.06,0.0,130.827,52.3,34.238,2026-05-28 20:00:00,2026-05-28 23:00:00,16.04951045864635,33.807097574404764,낮음,현재 방류 유지,높음,ml-v0.1
5101110,장흥,34.76,126.93,60,66,2026-05-28 20:00:00,4.917,72.41,0.0,100.646,52.7,4.917,2026-05-28 20:00:00,2026-05-28 23:00:00,3.7943477827592633,5.049870342261904,낮음,현재 방류 유지,높음,ml-v0.1
