dam_code,base_datetime,forecast_datetime,grid_x,grid_y,tmp,rain,snow,pty,source,raw_payload,created_at,updated_at
1003110,2026-05-28 19:30:00,2026-05-28 20:00:00,77,115,22.0,0.0,0.0,0,KMA_ULTRA_FCST,"[{""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""LGT"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""PTY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""RN1"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""강수없음""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""SKY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""1""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""T1H"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""22""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""REH"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""70""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""UUU"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""2""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VVV"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""0.6""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VEC"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""253""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""WSD"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""2""}]",2026-05-28 20:15:58,2026-05-28 20:15:58
1003110,2026-05-28 19:30:00,2026-05-28 21:00:00,77,115,21.0,0.0,0.0,0,KMA_ULTRA_FCST,"[{""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""LGT"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""PTY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""RN1"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""강수없음""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""SKY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""1""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""T1H"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""21""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""REH"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""75""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""UUU"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""1.6""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VVV"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""0.5""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VEC"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""253""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""WSD"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""2""}]",2026-05-28 20:15:58,2026-05-28 20:15:58
1003110,2026-05-28 19:30:00,2026-05-28 22:00:00,77,115,20.0,0.0,0.0,0,KMA_ULTRA_FCST,"[{""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""LGT"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""PTY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""RN1"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""강수없음""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""SKY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""1""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""T1H"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""20""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""REH"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""85""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""UUU"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""1.9""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VVV"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""0.3""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VEC"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""261""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""WSD"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""2""}]",2026-05-28 20:15:58,2026-05-28 20:15:58
1003110,2026-05-28 19:30:00,2026-05-28 23:00:00,77,115,19.0,0.0,0.0,0,KMA_ULTRA_FCST,"[{""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""LGT"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""PTY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""RN1"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""강수없음""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""SKY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""1""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""T1H"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""19""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""REH"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""85""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""UUU"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""2.2""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VVV"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""0.2""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VEC"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""265""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""WSD"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""2""}]",2026-05-28 20:15:58,2026-05-28 20:15:58
1003110,2026-05-28 19:30:00,2026-05-29 00:00:00,77,115,17.0,0.0,0.0,0,KMA_ULTRA_FCST,"[{""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""LGT"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0000"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""PTY"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0000"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""RN1"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0000"", ""fcstValue"": ""강수없음""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""SKY"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0000"", ""fcstValue"": ""1""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""T1H"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0000"", ""fcstValue"": ""17""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""REH"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0000"", ""fcstValue"": ""90""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""UUU"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0000"", ""fcstValue"": ""2.2""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VVV"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0000"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VEC"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0000"", ""fcstValue"": ""270""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""WSD"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0000"", ""fcstValue"": ""2""}]",2026-05-28 20:15:58,2026-05-28 20:15:58
1003110,2026-05-28 19:30:00,2026-05-29 01:00:00,77,115,17.0,0.0,0.0,0,KMA_ULTRA_FCST,"[{""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""LGT"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0100"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""PTY"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0100"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""RN1"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0100"", ""fcstValue"": ""강수없음""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""SKY"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0100"", ""fcstValue"": ""1""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""T1H"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0100"", ""fcstValue"": ""17""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""REH"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0100"", ""fcstValue"": ""95""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""UUU"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0100"", ""fcstValue"": ""1.9""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VVV"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0100"", ""fcstValue"": ""0""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VEC"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0100"", ""fcstValue"": ""270""}, {""nx"": 77, ""ny"": 115, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""WSD"", ""fcstDate"": ""20260529"", ""fcstTime"": ""0100"", ""fcstValue"": ""2""}]",2026-05-28 20:15:58,2026-05-28 20:15:58
1006110,2026-05-28 19:30:00,2026-05-28 20:00:00,78,126,23.0,0.0,0.0,0,KMA_ULTRA_FCST,"[{""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""LGT"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""0""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""PTY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""0""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""RN1"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""강수없음""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""SKY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""4""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""T1H"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""23""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""REH"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""80""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""UUU"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""1.7""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VVV"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""1.3""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VEC"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""233""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""WSD"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2000"", ""fcstValue"": ""2""}]",2026-05-28 20:16:10,2026-05-28 20:16:10
1006110,2026-05-28 19:30:00,2026-05-28 21:00:00,78,126,22.0,0.0,0.0,0,KMA_ULTRA_FCST,"[{""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""LGT"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""0""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""PTY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""0""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""RN1"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""강수없음""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""SKY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""1""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""T1H"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""22""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""REH"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""90""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""UUU"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""1.8""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VVV"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""1.4""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VEC"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""232""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""WSD"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2100"", ""fcstValue"": ""2""}]",2026-05-28 20:16:10,2026-05-28 20:16:10
1006110,2026-05-28 19:30:00,2026-05-28 22:00:00,78,126,20.0,0.0,0.0,0,KMA_ULTRA_FCST,"[{""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""LGT"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""0""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""PTY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""0""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""RN1"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""강수없음""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""SKY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""1""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""T1H"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""20""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""REH"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""90""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""UUU"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""1.9""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VVV"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""1.3""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VEC"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""236""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""WSD"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2200"", ""fcstValue"": ""2""}]",2026-05-28 20:16:10,2026-05-28 20:16:10
1006110,2026-05-28 19:30:00,2026-05-28 23:00:00,78,126,19.0,0.0,0.0,0,KMA_ULTRA_FCST,"[{""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""LGT"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""0""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""PTY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""0""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""RN1"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""강수없음""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""SKY"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""4""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""T1H"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""19""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""REH"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""90""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""UUU"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""2""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VVV"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""1.1""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""VEC"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""241""}, {""nx"": 78, ""ny"": 126, ""baseDate"": ""20260528"", ""baseTime"": ""1930"", ""category"": ""WSD"", ""fcstDate"": ""20260528"", ""fcstTime"": ""2300"", ""fcstValue"": ""2""}]",2026-05-28 20:16:10,2026-05-28 20:16:10
